index,category,filename,start_second,end_second,,duration,,,glass,gun,scream
1,2, glass/0009.wav,4.81175,5.865719,,1.053969,,average,1.43447447,0.4484795057,1.30685018
3,2, glass/0053.wav,15.688,16.681969,,0.993969,,min,0.577968,0.269968,0.489968
6,2, glass/0011.wav,32.364187,33.117156,,0.752969,,max,5.449969,0.980969,6.223969
9,2, glass/0050.wav,47.20175,48.595719,,1.393969,,,,,
10,2, glass/0031.wav,52.978969,53.632937,,0.653968,,,,,
12,2, glass/0005.wav,65.243344,66.023313,,0.779969,,,,,
13,2, glass/0057.wav,70.917625,71.979594,,1.061969,,,,,
18,2, glass/0034.wav,98.436625,100.356594,,1.919969,,,,,
20,2, glass/0032.wav,110.389094,111.326063,,0.936969,,,,,
22,2, glass/0009.wav,119.626312,120.680281,,1.053969,,,,,
25,2, glass/0055.wav,135.354375,136.173344,,0.818969,,,,,
26,2, glass/0053.wav,139.798531,140.7925,,0.993969,,,,,
27,2, glass/0063.wav,145.119219,146.791188,,1.671969,,,,,
29,2, glass/0041.wav,157.338687,159.748656,,2.409969,,,,,
31,2, glass/0013.wav,169.558188,170.518156,,0.959968,,,,,
1,2, glass/0013.wav,3.969125,4.929094,,0.959969,,,,,
4,2, glass/0018.wav,18.431875,19.421844,,0.989969,,,,,
12,2, glass/0033.wav,61.165062,62.148031,,0.982969,,,,,
15,2, glass/0031.wav,77.340031,77.994,,0.653969,,,,,
20,2, glass/0003.wav,105.929469,107.909437,,1.979968,,,,,
22,2, glass/0029.wav,116.705625,117.647594,,0.941969,,,,,
28,2, glass/0027.wav,149.330969,150.390938,,1.059969,,,,,
31,2, glass/0050.wav,165.689562,167.083531,,1.393969,,,,,
4,2, glass/0052.wav,29.503375,30.393344,,0.889969,,,,,
15,2, glass/0048.wav,88.604875,90.197844,,1.592969,,,,,
16,2, glass/0004.wav,94.796219,95.796188,,0.999969,,,,,
17,2, glass/0031.wav,99.120156,99.774125,,0.653969,,,,,
23,2, glass/0034.wav,128.421281,130.34125,,1.919969,,,,,
27,2, glass/0025.wav,150.441625,152.773594,,2.331969,,,,,
1,2, glass/0039.wav,4.6935,6.453469,,1.759969,,,,,
2,2, glass/0002.wav,11.393375,12.338344,,0.944969,,,,,
3,2, glass/0059.wav,15.864844,20.944813,,5.079969,,,,,
4,2, glass/0047.wav,25.728375,27.938344,,2.209969,,,,,
5,2, glass/0047.wav,32.167063,34.377031,,2.209968,,,,,
7,2, glass/0032.wav,41.931031,42.868,,0.936969,,,,,
8,2, glass/0057.wav,48.419281,49.48125,,1.061969,,,,,
10,2, glass/0025.wav,58.752156,61.084125,,2.331969,,,,,
17,2, glass/0028.wav,96.87975,97.859719,,0.979969,,,,,
18,2, glass/0013.wav,101.47525,102.435219,,0.959969,,,,,
21,2, glass/0003.wav,115.737719,117.717687,,1.979968,,,,,
25,2, glass/0032.wav,135.916469,136.853438,,0.936969,,,,,
28,2, glass/0033.wav,151.935688,152.918656,,0.982968,,,,,
29,2, glass/0005.wav,157.70925,158.489219,,0.779969,,,,,
1,2, glass/0020.wav,4.951062,5.529031,,0.577969,,,,,
10,2, glass/0048.wav,50.371469,51.964438,,1.592969,,,,,
12,2, glass/0052.wav,60.246563,61.136531,,0.889968,,,,,
13,2, glass/0059.wav,66.741469,71.821438,,5.079969,,,,,
16,2, glass/0053.wav,89.083969,90.077938,,0.993969,,,,,
19,2, glass/0057.wav,103.603188,104.665156,,1.061968,,,,,
21,2, glass/0048.wav,113.132781,114.72575,,1.592969,,,,,
23,2, glass/0058.wav,124.10275,127.782719,,3.679969,,,,,
25,2, glass/0048.wav,137.61375,139.206719,,1.592969,,,,,
27,2, glass/0054.wav,147.763688,149.028656,,1.264968,,,,,
10,2, glass/0041.wav,57.730875,60.140844,,2.409969,,,,,
14,2, glass/0043.wav,80.785219,82.180188,,1.394969,,,,,
19,2, glass/0027.wav,106.525312,107.585281,,1.059969,,,,,
21,2, glass/0034.wav,117.965375,119.885344,,1.919969,,,,,
23,2, glass/0019.wav,130.300969,131.480938,,1.179969,,,,,
24,2, glass/0007.wav,135.8155,136.970469,,1.154969,,,,,
25,2, glass/0020.wav,142.338625,142.916594,,0.577969,,,,,
4,2, glass/0056.wav,19.983156,20.637125,,0.653969,,,,,
5,2, glass/0052.wav,25.078344,25.968312,,0.889968,,,,,
6,2, glass/0063.wav,29.837406,31.509375,,1.671969,,,,,
7,2, glass/0007.wav,37.116094,38.271062,,1.154968,,,,,
8,2, glass/0029.wav,41.623312,42.565281,,0.941969,,,,,
13,2, glass/0031.wav,64.982625,65.636594,,0.653969,,,,,
14,2, glass/0054.wav,69.377219,70.642188,,1.264969,,,,,
17,2, glass/0052.wav,84.051156,84.941125,,0.889969,,,,,
18,2, glass/0057.wav,90.410094,91.472063,,1.061969,,,,,
20,2, glass/0025.wav,101.36975,103.701719,,2.331969,,,,,
22,2, glass/0007.wav,116.154875,117.309844,,1.154969,,,,,
29,2, glass/0059.wav,153.923656,159.003625,,5.079969,,,,,
3,2, glass/0025.wav,15.405344,17.737313,,2.331969,,,,,
7,2, glass/0058.wav,37.62225,41.302219,,3.679969,,,,,
12,2, glass/0019.wav,67.519875,68.699844,,1.179969,,,,,
15,2, glass/0012.wav,82.498937,83.638906,,1.139969,,,,,
16,2, glass/0043.wav,87.180469,88.575438,,1.394969,,,,,
17,2, glass/0002.wav,92.570125,93.515094,,0.944969,,,,,
19,2, glass/0003.wav,103.150875,105.130844,,1.979969,,,,,
30,2, glass/0050.wav,167.381781,168.77575,,1.393969,,,,,
1,2, glass/0011.wav,5.030281,5.78325,,0.752969,,,,,
2,2, glass/0061.wav,9.928562,10.786531,,0.857969,,,,,
4,2, glass/0047.wav,19.976969,22.186937,,2.209968,,,,,
6,2, glass/0005.wav,32.727938,33.507906,,0.779968,,,,,
7,2, glass/0048.wav,37.879906,39.472875,,1.592969,,,,,
10,2, glass/0024.wav,57.020344,59.098312,,2.077968,,,,,
16,2, glass/0024.wav,93.932156,96.010125,,2.077969,,,,,
17,2, glass/0049.wav,100.777937,102.284906,,1.506969,,,,,
19,2, glass/0025.wav,111.076375,113.408344,,2.331969,,,,,
24,2, glass/0006.wav,138.773156,139.583125,,0.809969,,,,,
28,2, glass/0050.wav,158.278344,159.672313,,1.393969,,,,,
31,2, glass/0010.wav,175.844625,177.791594,,1.946969,,,,,
9,2, glass/0020.wav,46.732687,47.310656,,0.577969,,,,,
10,2, glass/0020.wav,51.602375,52.180344,,0.577969,,,,,
11,2, glass/0007.wav,57.272094,58.427062,,1.154968,,,,,
16,2, glass/0004.wav,83.478906,84.478875,,0.999969,,,,,
23,2, glass/0049.wav,120.747781,122.25475,,1.506969,,,,,
29,2, glass/0024.wav,154.831063,156.909031,,2.077968,,,,,
32,2, glass/0039.wav,171.665594,173.425563,,1.759969,,,,,
5,2, glass/0002.wav,25.017656,25.962625,,0.944969,,,,,
6,2, glass/0047.wav,31.064563,33.274531,,2.209968,,,,,
7,2, glass/0013.wav,36.589406,37.549375,,0.959969,,,,,
10,2, glass/0055.wav,53.326969,54.145938,,0.818969,,,,,
11,2, glass/0041.wav,59.393813,61.803781,,2.409968,,,,,
12,2, glass/0048.wav,65.490219,67.083187,,1.592968,,,,,
14,2, glass/0040.wav,78.237125,79.912094,,1.674969,,,,,
17,2, glass/0028.wav,96.742906,97.722875,,0.979969,,,,,
18,2, glass/0043.wav,101.810875,103.205844,,1.394969,,,,,
25,2, glass/0031.wav,142.777906,143.431875,,0.653969,,,,,
28,2, glass/0043.wav,158.531156,159.926125,,1.394969,,,,,
30,2, glass/0004.wav,168.965937,169.965906,,0.999969,,,,,
32,2, glass/0028.wav,178.574,179.553969,,0.979969,,,,,
6,2, glass/0028.wav,33.622469,34.602438,,0.979969,,,,,
7,2, glass/0018.wav,38.384281,39.37425,,0.989969,,,,,
16,2, glass/0018.wav,87.3005,88.290469,,0.989969,,,,,
18,2, glass/0006.wav,97.347188,98.157156,,0.809968,,,,,
22,2, glass/0025.wav,116.944656,119.276625,,2.331969,,,,,
33,2, glass/0007.wav,177.805969,178.960938,,1.154969,,,,,
1,2, glass/0030.wav,3.309281,4.12625,,0.816969,,,,,
5,2, glass/0030.wav,24.778344,25.595312,,0.816968,,,,,
8,2, glass/0019.wav,39.788375,40.968344,,1.179969,,,,,
11,2, glass/0029.wav,58.128969,59.070937,,0.941968,,,,,
16,2, glass/0048.wav,85.0115,86.604469,,1.592969,,,,,
19,2, glass/0049.wav,103.279469,104.786438,,1.506969,,,,,
21,2, glass/0027.wav,114.284875,115.344844,,1.059969,,,,,
24,2, glass/0063.wav,130.958875,132.630844,,1.671969,,,,,
28,2, glass/0054.wav,152.338313,153.603281,,1.264968,,,,,
30,2, glass/0004.wav,162.483688,163.483656,,0.999968,,,,,
1,2, glass/0055.wav,3.644594,4.463563,,0.818969,,,,,
