idx, class_id, class_name, start_second, end_second
1, 2, glass/0026.wav, 3.781219, 4.966188
2, 2, glass/0063.wav, 9.763781, 11.435750
3, 3, gunshots/0057.wav, 15.202531, 16.183500
4, 2, glass/0053.wav, 21.030500, 22.024469
5, 4, screams/0042.wav, 27.046156, 29.681125
6, 4, screams/0043.wav, 33.036094, 34.366062
7, 3, gunshots/0089.wav, 38.989719, 39.369687
8, 4, screams/0024.wav, 43.007719, 43.712688
9, 3, gunshots/0071.wav, 47.944250, 48.406219
10, 2, glass/0054.wav, 53.399250, 54.664219
11, 3, gunshots/0023.wav, 58.863031, 59.633000
12, 3, gunshots/0004.wav, 63.124500, 63.739469
13, 3, gunshots/0149.wav, 67.864844, 68.246813
14, 3, gunshots/0144.wav, 72.570469, 72.907438
15, 4, screams/0043.wav, 77.451469, 78.781437
16, 3, gunshots/0031.wav, 84.141688, 84.669656
17, 2, glass/0058.wav, 89.341813, 93.021781
18, 2, glass/0029.wav, 96.385906, 97.327875
19, 2, glass/0028.wav, 103.019500, 103.999469
20, 2, glass/0009.wav, 108.683531, 109.737500
21, 4, screams/0008.wav, 114.119500, 114.943469
22, 2, glass/0047.wav, 120.639844, 122.849812
23, 2, glass/0025.wav, 127.353969, 129.685937
24, 2, glass/0020.wav, 135.134469, 135.712437
25, 3, gunshots/0067.wav, 139.814312, 140.391281
26, 4, screams/0049.wav, 144.437938, 150.661906
27, 3, gunshots/0116.wav, 155.338906, 155.698875
28, 2, glass/0041.wav, 160.052531, 162.462500
29, 4, screams/0036.wav, 167.174844, 168.384813
30, 3, gunshots/0047.wav, 173.418187, 173.807156
31, 3, gunshots/0014.wav, 178.619812, 179.131781
